Nr_ankiety	pyt1	pyt2	pyt3	pyt4	pyt5	pyt6	Id_szkoly	Plec
a0662	2	2	2	2	4	3	S017	m
a0663	3	3	1	2	4	4	S017	m
a0664	5	3	2	3	4	5	S017	m
a0665	1	4	2	3	3	1	S017	k
a0666	5	3	4	5	3	5	S017	m
a0667	5	4	2	5	4	5	S017	m
a0668	4	3	1	3	4	1	S017	m
a0669	5	2	2	1	5	1	S017	k
a0670	2	2	2	2	4	4	S017	k
a0671	4	3	4	1	4	5	S017	m
a0672	3	4	2	3	2	2	S017	k
a0673	1	2	2	3	4	2	S017	m
a0674	3	4	4	2	3	1	S017	k
a0675	2	4	1	1	1	2	S017	m
a0676	1	1	3	3	3	2	S017	k
a0677	5	2	2	4	2	3	S017	k
a0678	3	1	3	1	2	3	S017	k
a0679	3	4	3	3	5	3	S017	k
a0680	2	1	1	3	3	3	S017	k
a0681	2	4	1	4	2	4	S017	m
a0682	2	2	1	4	2	3	S017	m
a0683	4	2	2	3	4	2	S017	m
a0684	4	4	1	4	5	1	S017	k
a0685	5	3	2	4	4	4	S017	k
a0686	3	2	2	3	2	3	S017	k
a0687	1	4	2	4	1	2	S017	k
a0688	2	4	3	1	1	2	S017	k
a0689	5	2	2	2	3	4	S017	k
a0690	2	2	4	3	1	5	S017	k
a0691	5	2	1	1	4	4	S017	k
a0692	4	2	1	4	4	3	S017	k
a0693	3	2	1	4	5	2	S018	k
a0694	2	2	3	1	4	4	S018	k
a0695	4	4	1	4	5	5	S018	m
a0696	3	3	3	3	2	4	S018	k
a0697	5	2	1	3	1	4	S018	m
a0698	4	4	1	1	4	4	S018	m
a0699	2	1	1	2	3	3	S018	k
a0700	2	1	1	3	1	4	S018	k
a0701	4	3	5	2	5	2	S018	m
a0702	5	1	2	4	2	5	S018	k
a0703	4	4	3	3	5	4	S018	k
a0704	4	3	2	3	2	2	S018	k
a0705	4	3	2	1	2	2	S018	m
a0706	5	4	2	3	5	5	S018	m
a0707	4	1	4	1	4	4	S018	m
a0708	4	1	4	2	2	4	S018	m
a0709	4	4	1	2	5	3	S018	m
a0710	4	4	2	3	2	3	S018	m
a0711	5	1	1	5	1	5	S018	k
a0712	5	4	2	3	3	4	S018	k
a0713	5	2	2	1	2	5	S018	k
a0714	5	1	3	1	3	5	S018	m
a0715	5	2	2	4	3	2	S018	m
a0716	5	2	4	3	1	5	S018	k
a0717	5	2	1	4	5	2	S018	m
a0718	3	2	2	2	2	4	S018	k
a0719	2	3	5	1	5	3	S018	k
a0720	3	4	3	2	1	4	S018	m
a0721	4	4	1	2	5	4	S018	k
a0722	3	3	4	3	3	4	S018	m
a0723	5	4	2	3	3	4	S018	m
a0724	3	2	1	1	2	4	S018	m
a0725	1	3	2	4	2	4	S018	m
a0726	3	1	3	1	4	4	S018	m
a0727	3	4	2	1	4	2	S018	m
a0728	5	1	2	3	5	5	S018	m
a0729	4	4	2	4	2	2	S018	m
a0730	5	1	2	4	1	3	S018	m
a0731	4	4	1	1	2	3	S018	m
a0732	5	3	2	3	4	4	S018	m
a0733	2	1	2	2	2	3	S019	m
a0734	3	3	3	4	4	3	S019	m
a0735	5	2	2	4	5	2	S019	m
a0736	2	3	3	1	3	1	S019	k
a0737	3	3	2	2	2	3	S019	k
a0738	1	4	2	1	2	4	S019	k
a0739	2	2	3	2	1	5	S019	k
a0740	3	3	3	3	2	5	S019	k
a0741	2	1	1	3	3	2	S019	k
a0742	5	3	3	1	1	4	S019	m
a0743	2	2	4	3	1	2	S019	m
a0744	4	2	4	2	4	5	S019	m
a0745	5	2	4	1	4	3	S019	k
a0746	1	2	4	3	4	1	S019	m
a0747	3	4	2	2	3	4	S019	k
a0748	5	4	4	3	4	3	S019	m
a0749	5	2	1	4	3	3	S019	k
a0750	2	2	2	1	4	5	S019	m
a0751	3	2	1	2	1	3	S019	k
a0752	1	2	4	4	3	4	S019	m
a0753	4	2	2	1	1	5	S019	k
a0754	2	1	1	3	3	5	S019	k
a0755	3	4	3	3	5	5	S019	k
a0756	4	2	2	3	3	5	S019	k
a0757	1	2	2	3	2	1	S019	k
a0758	1	4	3	3	1	2	S019	m
a0759	1	1	1	1	1	4	S019	k
a0760	3	2	4	1	5	1	S019	k
a0761	5	3	3	3	5	1	S019	m
a0762	3	4	4	3	5	5	S019	m
a0763	1	1	4	3	4	4	S019	m
a0764	1	5	2	3	2	5	S019	k
a0765	2	5	3	4	3	2	S019	m
a0766	5	5	4	4	4	2	S019	m
a0767	1	4	4	1	1	4	S019	m
a0768	4	4	1	3	5	1	S019	m
a0769	2	2	2	3	1	2	S019	m
a0770	2	2	2	3	3	1	S019	m
a0771	5	4	2	2	5	5	S019	m
a0772	4	1	2	1	1	1	S019	m
a0773	5	3	2	4	2	1	S020	m
a0774	4	2	2	3	5	5	S020	m
a0775	4	2	4	4	2	4	S020	m
a0776	1	1	2	4	3	2	S020	k
a0777	2	2	2	3	5	2	S020	k
a0778	1	2	5	3	4	2	S020	m
a0779	3	2	2	5	4	5	S020	k
a0780	5	2	2	3	4	1	S020	k
a0781	1	2	3	3	3	2	S020	m
a0782	3	2	2	3	3	5	S020	k
a0783	1	2	2	5	5	1	S020	m
a0784	3	1	4	3	1	1	S020	k
a0785	5	1	3	3	3	5	S020	k
a0786	3	4	1	3	4	4	S020	k
a0787	5	3	3	2	1	5	S020	k
a0788	2	1	1	1	3	2	S020	k
a0789	3	4	1	3	1	2	S020	k
a0790	3	3	4	3	2	1	S020	k
a0791	1	1	1	1	3	3	S020	m
a0792	2	1	4	4	5	4	S020	k
a0793	4	1	3	1	4	5	S020	k
a0794	3	3	4	3	3	2	S020	m
a0795	4	3	4	2	5	3	S020	m
a0796	2	3	3	3	5	5	S020	k
a0797	2	4	1	5	5	3	S020	m
a0798	5	1	5	4	4	1	S020	m
a0799	3	3	1	2	1	3	S020	k
a0800	5	4	2	4	4	3	S020	m
a0801	2	1	2	1	2	5	S020	m
a0802	1	2	2	1	3	5	S020	k
a0803	3	1	3	3	4	2	S020	k
a0804	2	4	2	4	2	2	S020	k
a0805	5	1	3	1	3	5	S020	k
a0806	4	2	4	1	2	1	S020	k
a0807	4	2	4	1	4	2	S020	k
a0808	3	1	1	4	4	3	S020	k
a0809	2	4	2	3	2	2	S020	k
a0810	3	2	3	3	4	1	S020	k
a0811	2	3	1	3	4	3	S020	k
a0812	5	2	3	2	4	4	S020	k
a0813	3	1	2	3	2	2	S021	k
a0814	4	4	4	4	5	5	S021	k
a0815	5	2	1	3	3	2	S021	m
a0816	2	4	2	1	1	3	S021	m
a0817	5	4	1	3	5	5	S021	k
a0818	2	1	1	3	4	3	S021	m
a0819	5	2	1	3	4	1	S021	k
a0820	2	1	2	4	4	4	S021	m
a0821	5	2	1	1	5	4	S021	k
a0822	4	2	2	1	2	2	S021	m
a0823	4	2	2	3	5	4	S021	m
a0824	5	3	5	2	1	2	S021	m
a0825	5	4	1	4	4	5	S021	m
a0826	5	3	1	3	3	5	S021	k
a0827	5	2	3	4	1	5	S021	k
a0828	2	2	1	4	1	3	S021	k
a0829	5	1	3	3	2	3	S021	m
a0830	4	1	4	4	5	3	S021	m
a0831	4	2	1	1	1	3	S021	m
a0832	4	3	1	3	1	2	S021	m
a0833	2	2	3	1	5	2	S021	k
a0834	5	2	4	3	3	2	S021	k
a0835	4	4	4	4	4	4	S021	m
a0836	5	3	1	3	4	2	S021	m
a0837	4	1	3	2	5	4	S021	k
a0838	4	2	3	3	2	2	S021	k
a0839	3	1	3	4	5	5	S021	m
a0840	2	2	2	1	5	5	S021	m
a0841	5	3	5	4	3	5	S021	k
a0842	5	2	4	3	2	2	S021	m
a0843	5	1	2	3	1	1	S021	k
a0844	4	2	1	1	1	4	S021	m
a0845	2	1	4	3	3	5	S021	k
a0846	3	2	2	3	5	3	S021	k
a0847	3	2	2	3	1	1	S021	k
a0848	5	1	3	5	5	4	S021	k
a0849	4	2	3	4	2	4	S021	k
a0850	5	2	2	1	3	1	S021	k
a0851	3	1	1	2	1	4	S021	k
a0852	4	2	2	4	3	1	S021	k
a0853	3	1	2	3	3	5	S021	k
a0854	2	1	2	4	1	1	S022	k
a0855	5	4	3	4	2	3	S022	k
a0856	5	1	1	1	3	4	S022	k
a0857	1	3	3	1	5	4	S022	k
a0858	3	4	2	2	2	3	S022	m
a0859	2	2	2	3	4	5	S022	k
a0860	2	4	4	3	1	1	S022	m
a0861	4	2	2	2	2	4	S022	k
a0862	3	1	1	3	2	4	S022	k
a0863	1	4	1	3	3	5	S022	m
a0864	1	1	3	3	1	2	S022	k
a0865	2	4	2	4	5	3	S022	k
a0866	5	3	3	1	5	2	S022	k
a0867	5	3	1	4	1	5	S022	m
a0868	1	2	1	3	5	2	S022	k
a0869	4	2	2	2	2	5	S022	m
a0870	5	4	2	3	5	5	S022	k
a0871	4	2	2	4	4	4	S022	m
a0872	4	5	2	3	1	5	S022	m
a0873	1	1	2	3	1	4	S022	k
a0874	1	4	2	1	5	4	S022	m
a0875	3	3	3	4	2	1	S022	k
a0876	4	1	4	1	3	5	S022	m
a0877	5	4	3	3	2	5	S022	m
a0878	1	3	1	3	4	2	S022	m
a0879	1	3	3	4	2	4	S022	m
a0880	1	2	1	2	2	1	S022	k
a0881	2	1	2	3	4	3	S022	m
a0882	2	3	2	4	5	1	S022	m
a0883	2	5	3	3	3	4	S022	k
a0884	1	2	1	2	4	1	S022	k
a0885	5	1	4	3	3	2	S022	k
a0886	3	2	4	5	2	5	S022	k
a0887	5	1	2	3	4	1	S022	k
a0888	2	5	2	1	3	2	S022	k
a0889	1	2	2	4	2	1	S022	k
a0890	3	1	4	3	4	5	S022	k
a0891	2	3	2	1	1	5	S022	k
a0892	4	2	3	2	4	1	S022	k
a0893	2	3	4	4	4	4	S022	k
a0894	2	1	2	3	2	4	S023	k
a0895	3	2	2	5	2	3	S023	k
a0896	5	3	3	3	1	4	S023	m
a0897	5	2	1	3	5	5	S023	k
a0898	1	3	1	3	1	3	S023	m
a0899	2	3	3	3	3	4	S023	k
a0900	4	3	3	4	1	2	S023	k
a0901	3	2	2	3	4	4	S023	k
a0902	4	2	3	5	4	3	S023	k
a0903	1	2	3	4	4	4	S023	m
a0904	5	1	2	5	5	2	S023	m
a0905	3	2	2	3	3	3	S023	m
a0906	1	1	2	3	1	4	S023	k
a0907	4	2	1	2	4	2	S023	m
a0908	1	1	1	1	5	5	S023	k
a0909	5	2	1	3	4	4	S023	k
a0910	4	3	1	3	3	3	S023	m
a0911	4	2	4	3	5	4	S023	k
a0912	2	5	3	4	3	4	S023	k
a0913	2	1	2	4	2	4	S023	k
a0914	2	2	1	3	5	5	S023	m
a0915	1	1	2	1	3	4	S023	k
a0916	2	2	1	1	4	3	S023	k
a0917	3	1	4	3	5	4	S023	k
a0918	1	5	3	3	2	5	S023	k
a0919	3	3	2	3	5	5	S023	k
a0920	2	3	5	3	1	2	S023	m
a0921	5	2	1	2	5	2	S023	m
a0922	1	3	3	1	3	4	S023	k
a0923	2	1	1	4	5	4	S023	k
a0924	1	3	5	2	4	3	S023	m
a0925	2	1	1	1	3	4	S023	k
a0926	2	1	1	3	1	4	S023	m
a0927	3	1	2	2	5	3	S023	m
a0928	4	2	3	4	3	4	S023	m
a0929	4	1	3	3	5	5	S023	m
a0930	1	2	1	2	5	2	S023	m
a0931	3	5	3	1	1	4	S023	m
a0932	1	3	2	4	3	5	S023	m
a0933	2	3	5	2	3	4	S023	m
a0934	4	1	1	4	4	5	S023	m
a0935	3	3	3	2	2	5	S023	m
a0936	1	3	4	3	5	4	S023	m
a0937	1	1	1	3	3	1	S024	m
a0938	4	2	1	1	1	3	S024	m
a0939	1	2	4	1	1	3	S024	m
a0940	1	2	2	4	4	2	S024	k
a0941	3	3	1	3	2	5	S024	m
a0942	5	3	1	4	1	3	S024	m
a0943	5	3	3	4	5	4	S024	k
a0944	5	1	4	1	1	4	S024	m
a0945	3	2	4	3	3	4	S024	m
a0946	5	2	2	4	2	3	S024	k
a0947	2	2	2	3	1	5	S024	m
a0948	1	5	3	1	1	3	S024	m
a0949	4	5	2	3	3	1	S024	m
a0950	5	2	2	3	2	1	S024	k
a0951	4	2	2	3	2	3	S024	m
a0952	5	2	1	1	1	4	S024	k
a0953	3	2	2	3	2	4	S024	m
a0954	2	1	4	4	2	5	S024	k
a0955	4	1	2	4	3	4	S024	k
a0956	4	3	2	3	5	2	S024	m
a0957	1	1	1	1	4	1	S024	m
a0958	5	1	2	3	2	1	S024	m
a0959	3	1	1	2	1	4	S024	m
a0960	3	2	4	1	4	3	S024	k
a0961	3	2	4	1	3	1	S024	m
a0962	4	3	2	1	2	3	S024	k
a0963	2	3	4	3	3	3	S024	k
a0964	2	1	1	3	3	3	S024	k
a0965	3	2	2	4	1	2	S024	k
a0966	2	2	2	3	3	5	S024	m
a0967	2	1	2	4	5	2	S024	k
a0968	1	5	1	3	5	2	S024	m
a0969	5	5	1	3	1	2	S024	m
a0970	2	3	2	2	3	5	S024	m
a0971	5	2	2	2	4	1	S024	m
a0972	3	1	2	3	1	1	S024	m
a0973	3	3	3	3	5	3	S024	m
a0974	1	2	3	2	4	2	S024	m
a0975	4	1	3	4	5	1	S024	m
a0976	5	2	2	3	1	3	S024	m
a0977	1	2	2	3	4	5	S024	m
a0978	4	5	1	2	5	2	S024	m
a0979	1	1	1	1	5	5	S024	m
a0980	1	2	2	3	1	4	S025	m
a0981	1	2	1	3	1	2	S025	k
a0982	2	5	2	4	5	4	S025	k
a0983	5	1	2	4	5	2	S025	k
a0984	5	1	2	1	4	4	S025	m
a0985	3	1	3	3	3	4	S025	k
a0986	1	2	3	4	2	5	S025	k
a0987	1	3	1	1	1	3	S025	k
a0988	1	3	1	3	5	4	S025	k
a0989	5	2	1	3	3	2	S025	k
a0990	1	5	2	4	2	4	S025	m
a0991	2	5	2	4	4	5	S025	k
a0992	4	1	2	3	1	1	S025	k
a0993	5	5	3	3	3	2	S025	m
a0994	1	2	1	4	5	3	S025	m
a0995	4	2	2	4	3	2	S025	k
a0996	1	1	2	3	3	2	S025	m
a0997	3	5	1	2	5	3	S025	m
a0998	5	3	2	4	1	5	S025	m
a0999	2	5	2	4	4	2	S025	m
a1000	4	1	1	3	3	5	S025	m
a1001	3	2	3	2	1	3	S025	k
a1002	4	3	1	3	5	5	S025	m
a1003	5	3	2	3	5	2	S025	k
a1004	3	5	1	2	4	3	S025	m
a1005	3	3	4	3	5	4	S025	m
a1006	4	1	3	1	2	3	S025	k
a1007	1	5	1	3	2	5	S025	m
a1008	4	3	1	1	1	2	S025	k
a1009	5	5	3	4	4	2	S025	k
a1010	3	3	4	1	1	4	S025	m
a1011	1	1	2	3	4	4	S025	k
a1012	5	3	5	3	2	4	S025	k
a1013	3	1	2	3	2	2	S025	k
a1014	4	1	3	2	5	4	S025	k
a1015	4	2	2	4	2	4	S025	k
a1016	2	3	5	3	4	3	S025	k
a1017	5	1	2	3	2	5	S025	k
a1018	3	1	2	3	1	2	S025	k
a1019	3	5	3	2	2	2	S025	k
a1020	4	2	3	1	2	4	S025	k
a1021	2	5	2	3	3	5	S025	k
a1022	3	5	1	1	1	4	S025	k
a1023	2	3	4	3	1	2	S026	m
a1024	4	2	4	4	1	3	S026	k
a1025	1	5	1	4	4	4	S026	m
a1026	2	5	1	2	4	5	S026	k
a1027	4	5	2	1	4	2	S026	k
a1028	1	1	1	1	5	5	S026	k
a1029	4	5	3	2	2	4	S026	k
a1030	5	3	1	5	5	5	S026	k
a1031	1	3	4	3	2	4	S026	m
a1032	1	2	3	1	5	2	S026	m
a1033	4	1	4	1	5	3	S026	k
a1034	2	3	3	3	2	2	S026	k
a1035	5	3	2	3	2	3	S026	k
a1036	1	3	3	1	3	5	S026	k
a1037	4	5	4	3	4	5	S026	m
a1038	2	3	2	3	4	4	S026	m
a1039	1	1	2	2	3	1	S026	m
a1040	1	1	2	3	4	5	S026	k
a1041	1	3	2	1	4	3	S026	k
a1042	5	1	2	3	4	2	S026	m
a1043	2	5	2	4	2	5	S026	m
a1044	3	1	1	2	1	2	S026	m
a1045	4	2	1	3	1	4	S026	m
a1046	3	3	1	3	4	1	S026	m
a1047	3	1	4	4	3	4	S026	m
a1048	4	3	2	3	1	3	S026	m
a1049	3	3	4	3	5	4	S026	m
a1050	2	5	4	4	5	2	S026	m
a1051	5	3	3	4	2	4	S026	k
a1052	1	2	2	2	4	3	S026	m
a1053	1	2	2	2	1	5	S026	m
a1054	2	1	1	3	5	5	S026	m
a1055	5	1	1	3	2	1	S026	k
a1056	5	1	2	4	5	5	S026	k
a1057	4	2	4	4	5	1	S026	k
a1058	5	1	1	4	3	3	S026	k
a1059	1	2	4	3	2	4	S026	k
a1060	4	2	1	1	3	2	S026	k
a1061	2	5	2	2	5	4	S026	k
a1062	3	3	2	3	3	5	S026	k
a1063	3	5	2	3	1	4	S026	k
a1064	4	5	1	2	3	3	S026	k
a1065	4	3	1	3	1	2	S026	k
a1066	2	2	3	1	3	4	S027	m
a1067	4	1	1	1	4	3	S027	k
a1068	5	1	3	1	2	4	S027	m
a1069	1	5	1	3	4	5	S027	m
a1070	3	1	4	4	2	5	S027	m
a1071	5	1	4	2	5	2	S027	k
a1072	3	1	1	4	1	4	S027	m
a1073	5	5	1	4	4	4	S027	k
a1074	4	1	2	2	4	4	S027	k
a1075	2	5	2	1	2	5	S027	m
a1076	4	2	2	2	1	2	S027	m
a1077	3	5	1	3	4	5	S027	k
a1078	5	2	2	2	4	5	S027	m
a1079	5	5	1	3	3	3	S027	m
a1080	2	5	2	3	3	5	S027	m
a1081	5	1	1	3	4	4	S027	m
a1082	4	1	5	4	3	2	S027	m
a1083	2	1	2	1	1	3	S027	m
a1084	4	2	5	1	5	4	S027	k
a1085	5	1	3	2	5	5	S027	k
a1086	4	1	2	3	3	4	S027	m
a1087	4	2	1	4	3	4	S027	k
a1088	5	1	3	4	5	4	S027	k
a1089	5	1	3	3	1	4	S027	m
a1090	2	3	4	2	3	3	S027	k
a1091	2	2	2	1	4	4	S027	m
a1092	4	2	1	3	5	4	S027	k
a1093	3	3	3	1	3	2	S027	m
a1094	3	2	1	3	3	2	S027	m
a1095	5	1	2	2	1	2	S027	m
a1096	4	1	3	3	5	5	S027	k
a1097	3	1	4	4	1	2	S027	k
a1098	4	3	3	4	2	2	S027	k
a1099	4	3	1	1	3	4	S027	k
a1100	3	2	4	2	1	2	S027	k
a1101	5	3	3	1	3	4	S027	k
a1102	3	3	3	1	2	5	S027	k
a1103	5	2	4	1	2	2	S027	k
a1104	3	2	1	4	2	5	S027	k
a1105	4	1	5	2	2	3	S027	k
a1106	4	1	2	4	4	4	S027	k
a1107	3	1	3	2	1	4	S027	k
a1108	2	2	1	2	1	4	S027	k
a1109	2	1	3	2	1	3	S028	k
a1110	3	2	2	3	4	4	S028	m
a1111	4	5	2	1	4	5	S028	k
a1112	1	5	2	5	3	3	S028	k
a1113	5	3	2	4	5	5	S028	k
a1114	4	2	4	1	5	2	S028	m
a1115	5	3	3	3	5	1	S028	k
a1116	3	1	4	5	3	5	S028	k
a1117	2	1	2	3	4	5	S028	m
a1118	3	2	3	2	5	4	S028	m
a1119	3	2	3	1	5	3	S028	m
a1120	3	5	3	3	4	5	S028	k
a1121	5	5	3	1	4	1	S028	m
a1122	1	1	1	1	4	1	S028	m
a1123	3	1	2	2	3	4	S028	m
a1124	4	5	2	3	4	1	S028	m
a1125	4	1	2	4	3	3	S028	m
a1126	5	5	4	3	3	3	S028	k
a1127	5	3	2	4	2	2	S028	m
a1128	2	2	3	3	4	1	S028	m
a1129	3	3	1	3	4	2	S028	k
a1130	5	1	2	4	3	3	S028	m
a1131	5	1	2	3	4	4	S028	m
a1132	1	2	4	4	4	2	S028	m
a1133	3	5	1	5	2	3	S028	k
a1134	1	1	1	4	5	1	S028	k
a1135	4	5	4	4	4	4	S028	k
a1136	2	3	2	4	4	2	S028	m
a1137	2	5	4	1	2	2	S028	k
a1138	5	2	4	4	1	2	S028	k
a1139	3	2	4	4	4	4	S028	k
a1140	5	5	2	1	4	3	S028	m
a1141	1	2	1	3	1	2	S028	k
a1142	3	5	2	2	4	1	S028	k
a1143	2	2	2	4	3	4	S028	k
a1144	5	5	2	4	3	1	S028	k
a1145	3	1	3	2	2	3	S028	k
a1146	2	3	1	4	3	1	S028	k
a1147	1	3	4	1	2	3	S028	k
a1148	5	1	2	1	2	1	S028	k
a1149	1	2	2	2	2	1	S028	k
a1150	4	3	3	1	3	4	S028	k
a1151	4	3	1	2	3	4	S028	k
a1152	2	1	2	1	2	4	S029	k
a1153	3	3	3	2	3	3	S029	m
a1154	4	1	3	2	3	4	S029	k
a1155	2	2	3	2	1	2	S029	k
a1156	3	2	5	3	5	4	S029	m
a1157	3	1	2	3	1	5	S029	k
a1158	4	2	2	3	1	4	S029	k
a1159	4	1	2	4	5	4	S029	m
a1160	5	1	3	3	2	4	S029	k
a1161	2	1	4	4	5	5	S029	m
a1162	5	3	1	4	5	4	S029	m
a1163	4	3	5	2	4	5	S029	k
a1164	3	2	3	2	3	5	S029	k
a1165	4	3	2	1	2	3	S029	m
a1166	2	3	2	2	1	5	S029	m
a1167	4	3	5	2	2	4	S029	m
a1168	5	2	1	3	3	3	S029	m
a1169	2	3	2	4	5	5	S029	k
a1170	4	2	2	5	5	3	S029	k
a1171	5	2	3	4	3	3	S029	m
a1172	4	2	4	4	5	3	S029	m
a1173	3	2	5	2	3	5	S029	k
a1174	3	2	3	3	1	2	S029	k
a1175	3	2	1	3	3	4	S029	k
a1176	4	3	1	3	3	5	S029	k
a1177	2	3	2	4	4	2	S029	m
a1178	3	2	3	4	4	5	S029	m
a1179	5	2	4	4	3	2	S029	m
a1180	5	1	2	2	5	4	S029	m
a1181	4	3	2	4	3	2	S029	k
a1182	4	3	2	1	2	5	S029	m
a1183	5	3	3	5	4	4	S029	m
a1184	4	2	3	3	2	3	S029	m
a1185	5	1	2	3	2	4	S029	m
a1186	5	1	3	4	4	5	S029	m
a1187	4	2	4	3	5	4	S029	m
a1188	4	1	2	4	5	4	S029	m
a1189	3	3	4	2	4	4	S029	m
a1190	5	2	4	4	4	5	S029	m
a1191	3	2	2	3	3	5	S029	m
a1192	5	1	3	3	1	2	S029	m
a1193	4	3	3	4	4	4	S029	m
a1194	5	3	5	3	5	5	S029	m
a1195	4	3	2	1	1	5	S030	m
a1196	4	1	2	3	1	4	S030	k
a1197	4	3	2	4	4	3	S030	m
a1198	2	1	3	1	2	4	S030	m
a1199	3	3	2	1	5	3	S030	m
a1200	5	3	3	3	1	2	S030	k
a1201	5	3	1	1	2	4	S030	m
a1202	3	1	4	3	1	4	S030	m
a1203	4	1	1	3	5	2	S030	k
a1204	5	1	2	2	3	5	S030	k
a1205	2	2	1	3	4	4	S030	m
a1206	5	2	1	2	5	5	S030	m
a1207	5	2	4	4	4	4	S030	m
a1208	3	2	4	3	5	4	S030	k
a1209	2	1	2	3	1	2	S030	m
a1210	2	2	4	1	2	2	S030	m
a1211	2	1	2	1	2	4	S030	m
a1212	3	3	1	1	2	5	S030	m
a1213	4	2	3	3	3	2	S030	k
a1214	5	2	4	3	3	4	S030	m
a1215	4	2	4	3	5	4	S030	k
a1216	2	2	5	4	4	2	S030	k
a1217	4	1	2	3	3	2	S030	m
a1218	2	2	1	3	1	2	S030	k
a1219	5	2	4	1	3	4	S030	m
a1220	2	3	1	2	5	2	S030	k
a1221	5	1	4	3	4	4	S030	k
a1222	3	3	4	2	1	3	S030	m
a1223	5	2	3	3	2	3	S030	m
a1224	5	2	1	2	4	3	S030	m
a1225	3	2	3	1	1	3	S030	m
a1226	4	2	4	1	1	3	S030	m
a1227	4	1	3	1	5	5	S030	m
a1228	4	2	1	3	3	5	S030	m
a1229	3	1	2	1	3	5	S030	m
a1230	2	2	1	2	5	5	S030	m
a1231	2	3	5	3	4	4	S030	m
a1232	2	1	3	3	5	3	S030	m
a1233	5	1	5	3	3	4	S030	m
a1234	3	1	4	2	5	4	S030	m
a1235	5	1	2	3	1	2	S030	m
a1236	4	1	2	3	4	3	S030	m
a1237	4	2	3	3	4	2	S030	m
a1238	5	2	5	3	5	2	S031	m
a1239	4	2	5	4	1	4	S031	k
a1240	3	2	2	1	5	4	S031	k
a1241	4	2	2	3	4	4	S031	m
a1242	5	1	5	3	1	3	S031	k
a1243	2	1	3	2	2	1	S031	k
a1244	4	4	4	5	1	1	S031	m
a1245	1	4	3	3	3	3	S031	m
a1246	3	2	1	3	1	1	S031	m
a1247	5	3	1	3	4	2	S031	k
a1248	3	4	2	1	4	5	S031	k
a1249	1	2	2	3	4	2	S031	m
a1250	1	2	3	2	4	1	S031	k
a1251	1	3	1	1	5	1	S031	m
a1252	3	4	3	2	1	3	S031	m
a1253	2	2	4	2	5	5	S031	m
a1254	4	2	2	4	4	2	S031	k
a1255	2	4	1	2	2	4	S031	m
a1256	4	2	2	3	3	1	S031	m
a1257	2	1	4	2	4	5	S031	m
a1258	3	1	4	2	1	3	S031	k
a1259	1	1	2	1	5	5	S031	k
a1260	5	2	1	4	1	4	S031	m
a1261	3	2	1	1	1	1	S031	m
a1262	2	3	3	1	1	5	S031	k
a1263	1	1	1	2	4	5	S031	k
a1264	5	2	3	2	5	1	S031	k
a1265	3	4	2	1	4	3	S031	k
a1266	3	4	3	3	4	4	S031	m
a1267	2	3	1	4	3	2	S031	k
a1268	1	2	1	3	3	5	S031	k
a1269	4	4	2	3	2	3	S031	k
a1270	3	1	4	1	5	2	S031	m
a1271	4	3	4	2	2	5	S031	m
a1272	3	4	1	2	5	1	S031	m
a1273	4	1	5	1	2	3	S031	m
a1274	4	2	2	1	2	5	S031	m
a1275	3	3	2	2	1	1	S031	m
a1276	5	2	4	4	4	1	S031	m
a1277	5	2	4	4	5	2	S031	m
a1278	5	3	4	2	4	4	S031	m
a1279	5	1	1	1	4	1	S031	m
a1280	5	2	1	2	4	4	S031	m
a1281	4	1	3	3	2	1	S032	m
a1282	3	2	2	3	3	1	S032	k
a1283	1	2	3	1	5	2	S032	m
a1284	3	1	2	3	1	4	S032	k
a1285	2	1	2	3	1	4	S032	k
a1286	1	1	3	3	4	3	S032	m
a1287	1	2	2	4	3	5	S032	m
a1288	4	3	1	1	3	3	S032	m
a1289	4	1	1	4	1	4	S032	k
a1290	4	1	2	3	5	4	S032	k
a1291	1	1	1	4	1	2	S032	k
a1292	4	2	3	3	2	1	S032	m
a1293	1	2	4	4	2	4	S032	m
a1294	1	2	2	2	2	2	S032	m
a1295	2	2	2	3	5	4	S032	k
a1296	5	1	1	3	3	5	S032	k
a1297	1	2	3	2	3	3	S032	m
a1298	3	1	3	4	5	1	S032	m
a1299	4	1	1	3	5	4	S032	m
a1300	1	1	3	3	2	3	S032	k
a1301	2	1	3	3	2	4	S032	k
a1302	1	3	2	3	1	4	S032	k
a1303	1	3	3	3	2	2	S032	m
a1304	5	2	4	4	2	3	S032	m
a1305	2	2	2	3	2	1	S032	k
a1306	2	2	2	3	2	1	S032	k
a1307	5	3	3	3	3	1	S032	k
a1308	1	1	3	1	2	2	S032	k
a1309	5	3	1	2	4	1	S032	k
a1310	5	2	1	3	4	4	S032	k
a1311	5	3	2	4	3	5	S032	k
a1312	4	3	3	3	2	2	S032	k
a1313	1	3	4	4	3	5	S032	m
a1314	2	3	5	2	4	1	S032	m
a1315	4	2	3	4	1	2	S032	m
a1316	2	1	3	2	3	3	S032	m
a1317	1	2	1	3	2	2	S032	m
a1318	3	1	2	1	4	4	S032	m
a1319	2	1	5	2	5	1	S032	m
a1320	1	2	3	2	4	3	S032	m
a1321	3	1	1	1	1	3	S032	m
a1322	2	1	4	1	1	4	S032	m
a1323	4	1	1	3	2	5	S032	m
a1324	5	2	1	3	3	1	S033	m
a1325	2	4	2	2	1	3	S033	k
