nazwa	rodzaj	masa	VAT	EAN
MICHALKI ZAMKOWE	bombonierka	500	0,23	5909102003723
KROLEWSKI SMAK	bombonierka	235	0,23	5909102004447
MIETOWE ORZEZWIAJACE	cukierki	1000	0,23	5909102004713
RACZKI	cukierki	1000	0,23	5909102004720
FISTASZKOWE	cukierki	1000	0,23	5909102004737
KUKULKI NIEZAWIJANE	cukierki	3000	0,23	5909102005222
MALAGA	bombonierka	210	0,23	5909102005291
KASZTANKI	bombonierka	180	0,23	5909102005307
TIKI TAKI	bombonierka	170	0,23	5909102005314
DARK 90%	czekolada	100	0,23	5909102005550
ORZECHOWE W CZEKOLADZIE (TORBA)	cukierki	1000	0,23	5909102005734
MARCEPAN	baton	28	0,23	5909102005918
KROWKA MLECZNA (TOREBKA)	cukierki	300	0,23	5909102005932
OLMECA	bombonierka	306	0,23	5909102006762
DARK 70%	czekolada	100	0,23	5909102006878
X-PLODE	baton	30	0,23	5909102006953
PUSZKA PIASECKI	bombonierka	2000	0,23	5909102007219
PUSZKA WITRAZOWA	bombonierka	240	0,23	5909102007226
MICHALKI ZAMKOWE (ZAWIJANE NA DWUSKRET)	cukierki	1000	0,23	5909102008070
MALAGA	bombonierka	430	0,23	5909102008452
KASZTANKI	bombonierka	430	0,23	5909102008469
TIKI TAKI	bombonierka	430	0,23	5909102008476
ADWOKAT	bombonierka	455	0,23	5909102008650
MALAGA	czekolada	102	0,23	5909102008728
TIKI TAKI	czekolada	100	0,23	5909102008735
JACEK	baton	42	0,23	5909102008780
ADAS	baton	42	0,23	5909102008797
IKAR	baton	42	0,23	5909102008803
STUDENCKI	baton	42	0,23	5909102008810
KASZTANKI	czekolada	100	0,23	5909102009138
DANUSIA MIETOWA	baton	40	0,23	5909102009268
JOGURTOWO-TRUSKAWKOWA	czekolada	295	0,23	5909102009763
KOLEKCJA KIELICHY TIKI TAKI	bombonierka	180	0,23	5909102009831
KOLEKCJA KIELICHY MALAGA	bombonierka	215	0,23	5909102009848
KOLEKCJA KIELICHY KASZTANKI	bombonierka	190	0,23	5909102009855
TIRAMISU	czekolada	282	0,23	5909102009930
DARK 70% ZE SKORKA POMARANCZY	czekolada	100	0,23	5909102009978
TRUFLE W CZEKOLADZIE (TORBA)	cukierki	1000	0,23	5909102010219
KOLONIALNE	cukierki	1000	0,23	5909102010295
MLECZNA NADZIEWANA KROWKA	czekolada	100	0,23	5909102010547
PLATKI CZEKOLADOWE	ciastka	110	0,23	5909102010578
KOLONIALNE	cukierki	280	0,23	5909102010714
LUKSUSOWE (TORBA)	cukierki	1000	0,23	5909102010790
MARCEPAN W CZEKOLADZIE (TORBA)	cukierki	1000	0,23	5909102010875
ZURAWINOWA	czekolada	295	0,23	5909102010899
KASZTANKOWE (TORBA)	cukierki	1000	0,23	5909102010929
MICHALKI	czekolada	102	0,23	5909102011216
SNACK SERNIK Z CZEKOLADA	baton	40	0,23	5909102011230
ZLOTY KASZTANEK	czekolada	102	0,23	5909102011285
MIETOWA	czekolada	100	0,23	5909102011469
KUKULKI SLOIK	cukierki	2700	0,23	5909102011650
JACEK XXL	baton	48	0,23	5909102011773
IKAR XXL	baton	48	0,23	5909102011780
ADAS XXL	baton	48	0,23	5909102011797
STUDENCKI XXL	baton	48	0,23	5909102011803
MACIEK TOFFI XXL	baton	49	0,23	5909102011810
MACIEK ADWOKAT XXL	baton	47	0,23	5909102011827
TABLICZKA ZURAWINOWA	czekolada	100	0,23	5909102011995
BIALE MICHALKI (TORBA)	cukierki	1000	0,23	5909102012145
TRUFLE Z NADZIEN. WISNIOWYM (TORBA)	cukierki	1000	0,23	5909102012381
KROWKA MLECZNA (LUZ)	cukierki	3000	0,23	5909102250516
JAGIELLONSKA MLECZNA	czekolada	100	0,23	5909102310319
KRAKOWSKA GORZKA	czekolada	100	0,23	5909102312610
KOKOSOWE	cukierki	2200	0,23	5909102320370
KASZTANKI	cukierki	2300	0,23	5909102320929
MALAGA	cukierki	2500	0,23	5909102321100
TIKI-TAKI	cukierki	2200	0,23	5909102321544
VIOLA	cukierki	2400	0,23	5909102321698
CHERRY	cukierki	2500	0,23	5909102322886
ADWOKAT	cukierki	2400	0,23	5909102330119
MICHALKI (PREMIUM)	cukierki	2200	0,23	5909102330218
CZEKOLADKI MIETOWO-CZEKOLADOWE	cukierki	2400	0,23	5909102330928
TIRAMISU	cukierki	2400	0,23	5909102332427
CZEKOLADKI JOGURTOWO-TRUSKAWKOWE	cukierki	2400	0,23	5909102332519
PIERNIKOWE ZE SLIWKA	cukierki	2400	0,23	5909102332717
MIESZANKA KRAKOWSKA (LUZ, KARTON)	cukierki	2800	0,23	5909102410842
PASTYLKI MIETOWE (NIEZAWIJANE)	cukierki	2500	0,23	5909102411726
PASTYLKI MIETOWE (KARTONIK)	cukierki	150	0,23	5909102411740
SLIWKA  (LUZ)	cukierki	2000	0,23	5909102412327
BULAWKA (KIESZONKA)	cukierki	2500	0,23	5909102415410
MICHALKI ZAMKOWE (KIESZONKA)	cukierki	2500	0,23	5909102415502
MARCEPAN (KIESZONKA)	cukierki	2500	0,23	5909102415618
MLECZNO-BIALA HIBBI	czekolada	100	0,23	5909238580242
BIALA Z DRAZAMI HIBBI	czekolada	100	0,23	5909238580259
CHERRISTO MALINOWA	bombonierka	217	0,23	5909238580273
MLECZNA NAPOWIETRZANA HIBBI	czekolada	75	0,23	5909238580419
BESTSELLERINI - MALA FANTAZJA	cukierki	2100	0,23	5909238581034
MLEKOLADKI MLECZNE Z NADZ.SMIETANKOWYM	baton	100	0,23	5909238581317
ARRISTO CZEKOLADKI ORZECHOWE	bombonierka	239	0,23	5909238581409
MLEKOLADKI MLECZNE Z NADZ.JOGURTOWO-TRUSKAWKOWYM	baton	100	0,23	5909238581454
ELITCHOCO NADZIEWANA JOGURTOWA	czekolada	100	0,23	5909238581775
KOCIE JEZYCZKI	bombonierka	100	0,23	5909238582208
SWEET  OBSESSION	bombonierka	250	0,23	5909238582307
MLEKOLADKI MLECZNE Z NADZ.JOGURTOWO-TRUSKAWKOWYM	baton	50	0,23	5909238582314
MLEKOLADKI MLECZNE Z NADZ.SMIETANKOWYM	baton	50	0,23	5909238582321
KWARTET SMACZKOWY	baton	250	0,23	5909238582741
SLODKI UPOMINEK  - IN OUT	czekolada	100	0,23	5909238582901
MIESZANKA WIELOSMAKOWA	cukierki	2000	0,23	5909238582932
CHERRISTO WISNIOWA	bombonierka	192,8	0,23	5909238583038
AJERKONIAK	bombonierka	192,8	0,23	5909238583045
ZELKI OWOCOWE - CZTERY SMACZKI Z JEDNEJ PACZKI	cukierki	90	0,23	5909238583052
ORZECHOWA NAPOWIETRZANA HIBBI	czekolada	75	0,23	5909238583137
MUSSKLE -CUKIERKI MUSUJACE	cukierki	100	0,23	5909238583151
CZERWONA ROZA	bombonierka	195	0,23	5909238583335
PASTELOWA	bombonierka	195	0,23	5909238583359
BANG BANG	baton	170	0,23	5909238583380
BANG BANG	baton	1200	0,23	5909238583694
CHERRISTO	bombonierka	120,5	0,23	5909238583809
MLECZNA	czekolada	100	0,23	5909238584431
CUKIERKI - NOTTURNO - KULKA	cukierki	1200	0,23	5909238584455
KROWKOWA HIBBI-KROOFFI	czekolada	100	0,23	5909238584462
MLECZNA - FLOPACK - HIBBI	czekolada	60	0,23	5909238584769
MOJITO MIETOWA	bombonierka	192,8	0,23	5909238584844
MALIBU	bombonierka	192,8	0,23	5909238584851
HOOP COLA GAZ	napoje	500	0,23	5909342000193
SOS O SMAKU CZEKOLADOWYM 200G	dodatki	200	0,23	5909437002415
SOS TRUSKAWKOWY	dodatki	200	0,08	5909437002439
SOS MALINOWY	dodatki	200	0,08	5909437002446
SOS TOFFI	dodatki	200	0,08	5909437002453
SOS MAXI O SMAKU CZEKOLADOWYM	dodatki	400	0,23	5909437002514
SOS MAXI TOFFI	dodatki	400	0,08	5909437002538
DROZDZE INSTANT	dodatki	7	0,23	5909437011110
CUKIER WANILINOWY	dodatki	43	0,23	5909437012254
SERNIX	dodatki	60	0,05	5909437013008
KREM BUDYNIOWY 3 MINUTY	dodatki	136	0,08	5909437013107
KREM DO TORTOW WANILIOWY	dodatki	120	0,08	5909437013206
KREM DO TORTOW CZEKOLADOWY	dodatki	140	0,08	5909437013305
KREM JOGURTOWY 3 MINUTY	dodatki	140	0,08	5909437013404
KREM DO TORTOW AJERKONIAKOWY	dodatki	120	0,08	5909437013503
KREM DO TORTOW TOFFI	dodatki	124	0,08	5909437013626
KREM DO TORTOW SMIETANKOWY	dodatki	120	0,08	5909437013701
KREM BUDYNIOWY TRADYCYJNY	dodatki	240	0,08	5909437013800
BITA SMIETANA	deser	60	0,08	5909437015507
BITA SMIETANA SPRAY	deser	250	0,05	5909437015552
BITA SMIETANA LIGHT	deser	65	0,08	5909437015606
BITA SMIETANA WANILIOWA	deser	60	0,08	5909437015705
POLEWA LUKROWA CZEKOLADOWA	dodatki	70	0,23	5909437016030
SMIETAN-FIX	dodatki	9	0,08	5909437017006
BISZKOPT-FIX	ciasto	87	0,05	5909437017105
FIX DO KARPATEK	ciasto	40	0,05	5909437017204
SERNIK-FIX	ciasto	68	0,05	5909437017303
JABLECZNIK-FIX	ciasto	43	0,05	5909437017402
PRZYPRAWA KORZENNA	dodatki	40	0,08	5909437018003
MASA SMIETANOWA SMIETANKOWA	dodatki	86	0,08	5909437019505
MASA SMIETANOWA MALINOWA	dodatki	86	0,08	5909437019703
MASA SMIETANOWA CZEKOLADOWA	dodatki	91	0,08	5909437019802
BUDYN WANILIOWY	deser	40	0,08	5909437020013
BUDYN SMIETANKOWY	deser	40	0,08	5909437020112
BUDYN TOFFI	deser	40	0,08	5909437020310
BUDYN MALINOWY	deser	40	0,08	5909437020402
BUDYN CZEKOLADOWY	deser	45	0,08	5909437021256
BUDYN ULUBIONY WANILIOWY	deser	70	0,08	5909437025018
BUDYN ULUBIONY SMIETANKOWY	deser	70	0,08	5909437025117
BUDYN ULUBIONY CZEKOLADOWY	deser	80	0,08	5909437025216
DESER TIRAMISU	deser	64	0,08	5909437031019
MOUSSE CZEKOLADOWY	deser	79	0,23	5909437031026
DESER STRACCIATELLA	deser	74	0,08	5909437031033
KISIEL KOLOREK SMAK COLA	deser	31	0,08	5909437032115
KISIEL KOLOREK SMAK GUMY DO ZUCIA	deser	31	0,08	5909437032122
KISIEL KOLOREK SMAK TRUSKAWKOWY	deser	31	0,08	5909437032139
KISIEL KOLOREK SMAK JAGODOWY	deser	31	0,08	5909437032146
KISIEL KOLOREK SMAK ZELKOWY	deser	31	0,08	5909437032160
KISIEL OWOCE LESNE	deser	38	0,08	5909437033235
KISIEL ZURAWINOWY	deser	38	0,08	5909437033334
KISIEL WISNIOWY	deser	38	0,08	5909437033433
KISIEL MORELOWY	deser	38	0,08	5909437033532
KISIEL POZIOMKOWY	deser	38	0,08	5909437033631
KISIEL MALINOWY	deser	38	0,08	5909437033730
KISIEL TRUSKAWKOWY	deser	38	0,08	5909437033839
KISIEL CYTRYNOWY	deser	38	0,08	5909437033938
GALARETKA BRZOSKWINIOWA	deser	75	0,08	5909437034027
GALARETKA O SMAKU OWOCOW LESNYCH	deser	75	0,08	5909437034041
GALARETKA MALINOWA	deser	75	0,08	5909437034126
GALARETKA POMARANCZOWA	deser	75	0,08	5909437034225
GALARETKA WISNIOWA	deser	75	0,08	5909437034324
GALARETKA TRUSKAWKOWA	deser	75	0,08	5909437034522
GALARETKA CYTRYNOWA	deser	75	0,08	5909437034621
GALARETKA POZIOMKOWA	deser	75	0,08	5909437034720
GALARETKA AGRESTOWA	deser	75	0,08	5909437034829
GALARETKA KIWI	deser	75	0,08	5909437034928
SLODKA CHWILA CZOKOLAADIA DO PICIA CLASSIC	deser	36	0,08	5909437035017
SLODKA CHWILA CZOKOLAADIA DO PICIA ORZECHOWA	deser	36	0,08	5909437035024
SLODKA CHWILA CZOKOLAADIA DO PICIA WANILIOWA	deser	36	0,08	5909437035031
SLODKA CHWILA CZOKOLAADIA DO PICIA GORZKA	deser	36	0,08	5909437035048
SLODKA CHWILA MUSS OWOCOWY SMAK TRUSKAWKOWY	deser	34	0,08	5909437036212
SLODKA CHWILA MUSS OWOCOWY SMAK OWOCE LESNE	deser	33,5	0,08	5909437036229
SLODKA CHWILA MUSS OWOCOWY SMAK GRUSZKOWY	deser	33,5	0,08	5909437036243
SLODKA CHWILA KISIEL WISNIOWY	deser	30	0,08	5909437037011
SLODKA CHWILA KISIEL MORELOWY	deser	30	0,08	5909437037028
SLODKA CHWILA KISIEL TRUSKAWKOWY	deser	30	0,08	5909437037035
SLODKA CHWILA KISIEL MALINOWY	deser	30	0,08	5909437037042
SLODKA CHWILA KISIEL MANDARYNKOWY	deser	30	0,08	5909437037059
SLODKA CHWILA KISIEL CYTRYNOWY	deser	30	0,08	5909437037073
SLODKA CHWILA KISIEL JABLKOWY	deser	30	0,08	5909437037080
SLODKA CHWILA KISIEL JABLKOWO-GRUSZKOWY Z OWOCAMI	deser	31,5	0,08	5909437037202
SLODKA CHWILA KISIEL TRUSKAWKOWY Z OWOCAMI	deser	31,5	0,08	5909437037219
SLODKA CHWILA KISIEL MALINOWY Z OWOCAMI	deser	31,5	0,08	5909437037226
SLODKA CHWILA KISIEL WISNIOWY Z OWOCAMI	deser	31,5	0,08	5909437037233
SLODKA CHWILA KISIEL OWOCE LESNE Z OWOCAMI	deser	31,5	0,08	5909437037240
SLODKA CHWILA KISIEL POZIOMKOWY Z OWOCAMI	deser	31,5	0,08	5909437037257
SLODKA CHWILA KISIEL TRUSKAWKOWO-WANILIOWY Z OWOCAMI	deser	31,5	0,08	5909437037264
SLODKA CHWILA KISIEL JABLKOWO-WISNIOWY Z OWOCAMI	deser	31,5	0,08	5909437037295
SLODKA CHWILA BUDYN WANILIOWY	deser	43	0,08	5909437038032
SLODKA CHWILA BUDYN SMIETANKOWY	deser	43	0,08	5909437038049
SLODKA CHWILA BUDYN CZEKOLADOWY	deser	45	0,08	5909437038063
SLODKA CHWILA MLECZNY RYZ WANILIOWY	deser	58	0,08	5909437039213
SLODKA CHWILA MLECZNY RYZ JABLKOWO-CYNAMONOWY	deser	58	0,08	5909437039220
SLODKA CHWILA KASZKA MANNA TRUSKAWKOWA	deser	47,5	0,08	5909437039411
SLODKA CHWILA KASZKA MANNA WANILIOWA	deser	47,5	0,08	5909437039428
SLODKA CHWILA KASZKA MANNA MALINOWA	deser	49	0,08	5909437039435
KWAS CYTRYNOWY	dodatki	20	0,23	5909437070100
ZELFIX 3:1	dodatki	40	0,08	5909437071305
ZELFIX 2:1	dodatki	40	0,08	5909437071503
CUKIER ZELUJACY 2:1	dodatki	500	0,08	5909437071800
CUKIER ZELUJACY 3:1	dodatki	350	0,08	5909437071855
ZELATYNA	dodatki	10	0,08	5909437072142
ZELATYNA	dodatki	20	0,08	5909437072180
ZELATYNA	dodatki	50	0,08	5909437072203
SODA	dodatki	70	0,23	5909437077109
XXL CIASTO Z PLATKAMI CZEKOLADY	ciasto	680	0,05	5909437080000
XXL CIASTO CZEKOLADOWE	ciasto	672	0,05	5909437080109
XXL PIERNIK	ciasto	650	0,05	5909437080307
XXL CIASTO KRUCHE	ciasto	600	0,05	5909437080703
BABECZKI Z PLATKAMI CZEKOLADY	ciasto	300	0,05	5909437081007
BABECZKI CZEKOLADOWE	ciasto	335	0,05	5909437081106
BABECZKI CYTRYNOWE	ciasto	389	0,05	5909437081205
BABECZKI JOGURTOWE	ciasto	335	0,05	5909437081304
BABECZKI Z KONFITURA JAGODOWA	ciasto	444	0,05	5909437081403
BABECZKI CZEKOLADOWE Z KONFITURA WISNIOWA	ciasto	442	0,05	5909437081502
BABECZKI JOGURTOWE Z KONFITURA MALINOWA	ciasto	405	0,05	5909437081601
BABKA CYTRYNOWA	ciasto	375	0,05	5909437085265
PIERNIK	ciasto	380	0,05	5909437085463
MURZYNEK	ciasto	350	0,05	5909437085760
SERNIK KROLEWSKI	ciasto	520	0,05	5909437086057
SERNIK TOFFI	ciasto	390	0,05	5909437086156
CIASTO BISZKOPTOWE	ciasto	400	0,05	5909437086217
GORALKA	ciasto	377	0,05	5909437086255
CIASTO KRUCHE	ciasto	400	0,05	5909437086415
SERNIK CHOCO	ciasto	368	0,05	5909437086651
WUZETKA	ciasto	525	0,05	5909437086750
SERNIK NA ZIMNO	ciasto	193	0,05	5909437087009
SERNIK JOGURTOWY	ciasto	195	0,05	5909437087108
PIERNICZKI	ciasto	350	0,05	5909437088006
CIASTECZKA MASLANE	ciasto	320	0,05	5909437088204
KOPIEC KRETA	ciasto	410	0,05	5909437089003
KOPIEC KRETA TRUSKAWKA	ciasto	380	0,05	5909437089126
BISZKOPT Z MASA SMIETANOWA	ciasto	300	0,05	5909437089225
POLEWA DESEROWA	dodatki	100	0,23	5909437100012
POLEWA MLECZNA	dodatki	100	0,23	5909437101019
POLEWA DE LUXE DESEROWA	dodatki	100	0,23	5909437102115
POLEWA DE LUXE MLECZNA	dodatki	100	0,23	5909437102122
POLEWA DE LUXE GORZKA	dodatki	100	0,23	5909437102139
POLEWA DE LUXE ORZECHOWA	dodatki	100	0,23	5909437102146
POLEWA DE LUXE CYTRYNOWA	dodatki	100	0,23	5909437102153
POLEWA DESEROWA I BIALA	dodatki	100	0,23	5909437102160
POLEWA BIALA	dodatki	100	0,23	5909437104010
LUKIER KLASYCZNY	dodatki	100	0,23	5909437112015
LUKIER ROZOWY	dodatki	100	0,23	5909437113012
LUKIER ZIELONY	dodatki	100	0,23	5909437114019
PISAKI CUKROWE	dodatki	76	0,23	5909437115016
KREM DEKORACYJNY BIALY	dodatki	120	0,23	5909437115023
BARWNIKI DO JAJEK	dodatki	3	0,23	5909437115030
PISAKI CUKROWE O SMAKU CZEKOLADOWYM	dodatki	57	0,23	5909437115047
LUKIER ZOLTY	dodatki	100	0,23	5909437116013
ROZYCZKI OPLATKI BIALE 6 SZT.	dodatki	20	0,23	5909437143019
AZURKI Z CZEKOLADY DESEROWEJ	dodatki	30	0,23	5909437144016
POLEWA MAXI DESEROWA	dodatki	200	0,23	5909437146010
POLEWA MAXI MLECZNA	dodatki	200	0,23	5909437147017
POLEWA MAXI BIALA	dodatki	200	0,23	5909437148014
LISTKI Z CZEKOLADY DESEROWEJ I BIALEJ	dodatki	45	0,23	5909437155012
MINI ROLLS Z CZEKOLADY DESEROWEJ	dodatki	75	0,23	5909437155029
MINI ROLLS Z CZEKOLADY BIALEJ	dodatki	75	0,23	5909437155036
GWIAZDY Z CZEKOLADY DESEROWEJ I BIALEJ	dodatki	20	0,23	5909437155043
ROZYCZKI OPLATKI KOLOROWE 6 SZT.	dodatki	20	0,23	5909437183015
STOKROTKI OPLATKI KOLOROWE - 8 STOKROTEK + 16 LISTKOW	dodatki	20	0,23	5909437183114
ROZYCZKI OPLATKI BRAZOWE 6 SZT.	dodatki	20	0,23	5909437184012
LITERKI I CYFERKI Z CZEKOLADY DESEROWEJ	dodatki	60	0,23	5909437190013
SERDUSZKA Z CZEKOLADY DESEROWEJ I BIALEJ	dodatki	45	0,23	5909437196015
ZIARENKA KAWOWE Z CZEKOLADY MOCCA	dodatki	75	0,23	5909437305011
POSYPKA CUKROWA	dodatki	80	0,23	5909437307015
PERELKI CUKROWE	dodatki	80	0,23	5909437308012
PERELKI SREBRNE	dodatki	42	0,23	5909437308029
PERELKI ZLOTE	dodatki	42	0,23	5909437308036
PERELKI ROZOWE & BIALE	dodatki	42	0,23	5909437308043
PERELKI NIEBIESKIE & BIALE	dodatki	42	0,23	5909437308050
SNIEZYNKI CUKROWE	dodatki	38	0,23	5909437308067
KROPECZKI CZEKOLADOWE W CUKROWEJ OTOCZCE	dodatki	60	0,23	5909437308074
GWIAZDKI CUKROWE ZOLTE	dodatki	40	0,23	5909437308081
KONFETTI CUKROWE	dodatki	40	0,23	5909437308098
POSYPKA CZEKOLADOWA 80G	dodatki	80	0,23	5909437309019
PLATKI CZEKOLADOWE	dodatki	80	0,23	5909437310015
PROSZEK DO PIECZENIA (MULTIPACK) 3X15	dodatki	45	0,23	5909437310343
CUKIER WANILINOWY (MULTIPACK)	dodatki	24	0,23	5909437312248
PROSZEK DO PIECZENIA	dodatki	1000	0,23	5909437710310
CUKIER WANILINOWY	dodatki	1000	0,23	5909437712215
ZELATYNA	dodatki	1000	0,08	5909437772110
PARADIS WANILIOWY Z BITA SMIETANA	deser	125	0,05	5909437960012
PARADIS CZEKOLADOWY Z BITA SMIETANA	deser	125	0,05	5909437960111
PARADIS CYTRYNOWY Z BITA SMIETANA	deser	125	0,05	5909437960319
PARADIS TRUSKAWKOWY Z BITA SMIETANA	deser	125	0,05	5909437960418
PARADIS MALINOWY Z BITA SMIETANA	deser	125	0,05	5909437960517
GALARETKA TRUSKAWKOWA	deser	140	0,08	5909437961910
GALARETKA POMARANCZOWA	deser	140	0,08	5909437961934
GALARETKA CYTRYNOWA	deser	140	0,08	5909437961941
PARADIS WANILIOWY Z BITA SMIETANA 2-PACK	deser	250	0,05	5909437962016
PARADIS CZEKOLADOWY Z BITA SMIETANA 2-PACK	deser	250	0,05	5909437962115
KISIEL ZURAWINOWY	deser	38	0,08	5909552000143
BUDYN CZEKOLADOWY	deser	45	0,08	5909552000167
BUDYN SMIETANKOWY	deser	40	0,08	5909552000174
BUDYN WANILIOWY	deser	40	0,08	5909552000198
KISIEL WISNIOWY	deser	38	0,08	5909552000228
KISIEL BRZOSKWINIOWY	deser	38	0,08	5909552000235
KISIEL CYTRYNOWY	deser	38	0,08	5909552000242
BITA SMIETANA SNIEZKA	deser	60	0,08	5909552000273
PRZYPRAWA DO PIERNIKA	dodatki	40	0,23	5909552000396
KWAS CYTRYNOWY TORBA ZE STRUNA	dodatki	20	0,23	5909552000419
KISIEL TRUSKAWKOWY	deser	38	0,08	5909552000617
ZELATYNA SPOZYWCZA	dodatki	20	0,08	5909552000679
BITA SMIETANA SNIEZKA LIGHT	deser	60	0,08	5909552000686
BUDYN KOKOSOWY Z WIORKAMI	deser	43	0,08	5909552000808
KAKAO KROLEWSKIE  PREMIUM	uzywki	100	0,23	5909552000853
ZEL-FRUCT 2:1	dodatki	40	0,08	5909552000945
SODA OCZYSZCZONA TORBA ZE STRUNA	dodatki	80	0,23	5909552000952
SERNIK NA ZIMNO + GALARETKA KARTONIK	ciasto	268	0,08	5909552001263
KARPATKA (CIASTO+KREM) KARTONIK	ciasto	340	0,08	5909552001324
PROSZEK DO PIECZENIA	dodatki	15	0,23	5909552001461
CUKIER WANILINOWY	dodatki	32	0,23	5909552004950
LA MATTINA CREMIX TORBA	uzywki	260	0,08	5909552005742
LM CAPPUCINO CZEKOLADOWE	uzywki	100	0,08	5909552006282
LM CAPPUCINO ORZECHOWE	uzywki	100	0,08	5909552006299
LM CAPPUCINO SMIETANKOWE	uzywki	100	0,08	5909552006305
LM CAPPUCINO WANILIOWE	uzywki	100	0,08	5909552006312
LM CAPPUCCINO CLASSIC	uzywki	100	0,08	5909552006329
LM CAPPUCINO Z MAGNEZEM	uzywki	100	0,08	5909552006336
LM KAKAO	uzywki	80	0,23	5909552006596
GALARETKA AGRESTOWA	deser	75	0,08	5909552009740
GALARETKA BRZOSKWINIOWA	deser	75	0,08	5909552009757
GALARETKA CYTRYNOWA	deser	75	0,08	5909552009764
GALARETKA MALINOWA	deser	75	0,08	5909552009788
GALARETKA POMARANCZOWA	deser	75	0,08	5909552009795
GALARETKA TRUSKAWKOWA	deser	75	0,08	5909552009818
GALARETKA WISNIOWA	deser	75	0,08	5909552009825
GALARETKA OWOCE LESNE	deser	75	0,08	5909552009832
LA MATTINA CAPPUCCINO WANILIOWE PALUCH	uzywki	12,5	0,08	5909552010548
LA MATTINA CAPPUCCINO CLASSIC PALUCH	uzywki	12,5	0,08	5909552010555
LA MATTINA CAPPUCCINO CZEKOLADOWE PALUCH	uzywki	12,5	0,08	5909552010562
PANDICAO KAKAO ROZPUSZCZALNE TORBA	uzywki	300	0,23	5909552011392
TIRAMISU (CIASTO+KREM) KARTONIK	ciasto	450	0,08	5909552011446
KISIEL SK TRUSKAWKOWY Z OWOCAMI	deser	30	0,08	5909552012221
KISIEL SK WISNIOWY Z OWOCAMI	deser	30	0,08	5909552012238
POLEWA CZEKOLADOWA TWARDA	dodatki	100	0,23	5909552012269
POLEWA CZARNO-BIALA TWARDA	dodatki	100	0,23	5909552012276
POLEWA ORZECHOWA TWARDA	dodatki	100	0,23	5909552012283
AROMAT CYTRYNOWY	dodatki	10	0,23	5909552012405
AROMAT MIGDALOWY	dodatki	8	0,23	5909552012412
AROMAT POMARANCZOWY	dodatki	10	0,23	5909552012429
AROMAT RUMOWY	dodatki	10	0,23	5909552012436
AROMAT WANILIOWY	dodatki	10	0,23	5909552012443
SERNIK NA ZIMNO TORBA	ciasto	193	0,08	5909552012504
KISIEL SK OWOCE LESNE Z OWOCAMI	deser	30	0,08	5909552012719
KISIEL SK POMARANCZOWO-ANANASOWY Z OWOCAMI	deser	30	0,08	5909552012726
KISIEL SK JABLKOWY Z OWOCAMI	deser	30	0,08	5909552012733
KISIEL SK CYTRYNOWO-BANANOWY Z OWOCAMI	deser	30	0,08	5909552012745
HERBATA CYTRYNOWA TORBA	uzywki	300	0,08	5909552012917
HERBATA  MALINOWA TORBA	uzywki	300	0,08	5909552012924
HERBATA OWOCE LESNE TORBA	uzywki	300	0,08	5909552012931
HERBATA MULTIWITAMINA TORBA	uzywki	300	0,08	5909552013235
BUDYN SK CZEKOLADOWY Z ORZECHAMI LASKOWYMI	deser	46	0,08	5909552013907
BUDYN SK WANILIOWY Z RODZYNKAMI	deser	47	0,08	5909552013914
KREM TIRAMISU  3 MINUTY	dodatki	150	0,08	5909552013952
CZEKOLADA DO PICIA TORBA	uzywki	150	0,23	5909552015567
GALARETKA GREJPFRUTOWA	deser	79	0,08	5909552015895
GALARETKA PORZECZKOWA	deser	75	0,08	5909552015901
STRACCIATELLA  (CIASTO+KREM) KARTONIK	ciasto	253	0,08	5909552016823
GALARETKA ANANASOWA	deser	75	0,08	5909552017103
KISIEL JABLKOWY	deser	38	0,08	5909552017318
LA MATTINA KAWA 3 W 1	uzywki	18	0,23	5909552017622
HERBATA BRZOSKWINIOWA TORBA	uzywki	300	0,08	5909552017967
BUDYN RODZINNY CZEKOLADOWY	deser	90	0,08	5909552019770
BUDYN RODZINNY WANILIOWY	deser	80	0,08	5909552019787
BABKA O SMAKU CYTRYNOWYM TORBA	ciasto	375	0,08	5909552020639
KREM WANILIOWY 5 MINUT	dodatki	120	0,08	5909552021124
KREM AJERKONIAK 5 MINUT	dodatki	120	0,08	5909552021148
KREM CZEKOLADOWY 5 MINUT	dodatki	120	0,08	5909552021155
BUDYN RODZINNY SMIETANKOWY	deser	80	0,08	5909552021902
KISIEL RODZINNY TRUSKAWKOWY	deser	76	0,08	5909552021926
KISIEL RODZINNY WISNIOWY	deser	76	0,08	5909552022015
LA MATTINA CAPPUCCINO ORZECHOWE PALUCH	uzywki	12,5	0,08	5909552022190
LA MATTINA CAPPUCCINO SMIETANKOWE PALUCH	uzywki	12,5	0,08	5909552022206
KREM KARPATKA 3 MINUTY	dodatki	145	0,08	5909552022848
FIX DO PIECZENIA SZARLOTK	dodatki	45	0,08	5909552022930
MUS SK JABLKOWY SZARLOTKA	deser	34	0,08	5909552023180
LA MATTINA CAPPUCCINO Z MAGNEZEM PALUCH	uzywki	12	0,08	5909552023203
LA MATTINA KAWA 2 W 1	uzywki	18	0,23	5909552023753
AROMAT DO SERNIKA	dodatki	10	0,23	5909552024194
AROMAT DO MAKOWCA	dodatki	10	0,23	5909552024200
SLODKI KUBEK CZEKOLADA DO PICIA	deser	36	0,23	5909552024309
CUKIER ZELUJACY 2 :1	dodatki	500	0,08	5909552024668
